month,product_name,products_sold,price,stock_life,profit_share
2025-01,Apple,100,1.00,10,0.15
2025-01,Banana,50,0.80,12,0.10
2025-01,Milk,30,1.50,100,0.20
2025-02,Apple,80,0.90,20,0.16
2025-02,Banana,60,0.70,18,0.11
2025-02,Milk,40,1.40,95,0.21
2025-03,Apple,120,1.10,30,0.17
2025-03,Banana,40,0.60,14,0.09
2025-03,Milk,20,1.60,92,0.19
2025-11,Apple,200,0.85,8,0.18
2025-11,Banana,30,0.55,110,0.08
2025-11,Milk,10,1.20,120,0.22
2025-12,Apple,50,0.95,100,0.13
2025-12,Banana,20,0.50,105,0.07
2025-12,Milk,5,1.10,130,0.23
